月份,監測項目,監測站,測站編號,有效測定日數(日),測定時數(時),月平均值(ppm),一小時值超過35ppm之時數(時),一小時值超過35ppm之時數(%),連續8小時之平均值超過9ppm次數(次),日平均值超過10ppm日數(日),日平均值超過10ppm日數(%),一小時值之最高值(ppm),一小時值之最高值(發生日),一小時值之最高值(發生時),連續8小時平均值之最高值(ppm)
104年1月,一氧化碳,中正站,2533616A0015,31,708,0.99,0,0,0,0,0,5.32,5,19,2.91
104年1月,一氧化碳,大直站,2533916A0007,30,699,0.77,0,0,0,0,0,3.02,5,9,1.87
104年1月,一氧化碳,信義站,2534516A0004,31,706,0.81,0,0,0,0,0,2.74,5,20,2.57
104年1月,一氧化碳,南港站,2534116A0005,26,651,0.59,0,0,0,0,0,2.25,5,21,1.77
104年1月,一氧化碳,內湖站,2534216A0011,31,703,0.79,0,0,0,0,0,2.93,16,10,2.31
104年1月,一氧化碳,木柵站,2534016A0012,26,653,0.53,0,0,0,0,0,1.99,5,18,1.54
104年1月,一氧化碳,承德站,2534316T0025,29,688,1.29,0,0,0,0,0,4.87,5,17,2.84
104年1月,一氧化碳,中北站,2533916T0022,31,708,1.57,0,0,0,0,0,6.81,5,20,4.58
104年2月,一氧化碳,中正站,2533616A0015,28,638,0.98,0,0,0,0,0,3.07,25,23,1.77
104年2月,一氧化碳,大直站,2533916A0007,28,618,0.59,0,0,0,0,0,2.34,16,9,1.27
104年2月,一氧化碳,信義站,2534516A0004,28,638,0.68,0,0,0,0,0,1.87,25,23,1.49
104年2月,一氧化碳,南港站,2534116A0005,28,625,0.62,0,0,0,0,0,2.25,13,22,1.54
104年2月,一氧化碳,內湖站,2534216A0011,28,636,0.87,0,0,0,0,0,2.62,16,9,1.69
104年2月,一氧化碳,木柵站,2534016A0012,26,619,0.63,0,0,0,0,0,1.47,23,19,1.2
104年2月,一氧化碳,承德站,2534316T0025,28,639,1.2,0,0,0,0,0,4.31,26,7,2.56
104年2月,一氧化碳,中北站,2533916T0022,28,639,1.53,0,0,0,0,0,5.4,16,8,2.76
104年3月,一氧化碳,中正站,2533616A0015,31,704,0.96,0,0,0,0,0,3.26,26,22,2.66
104年3月,一氧化碳,大直站,2533916A0007,29,686,0.66,0,0,0,0,0,2.31,13,9,1.75
104年3月,一氧化碳,信義站,2534516A0004,31,697,0.69,0,0,0,0,0,1.73,30,9,1.39
104年3月,一氧化碳,南港站,2534116A0005,31,703,0.65,0,0,0,0,0,2.09,17,9,1.66
104年3月,一氧化碳,內湖站,2534216A0011,28,700,0.7,0,0,0,0,0,1.81,2,23,1.53
104年3月,一氧化碳,木柵站,2534016A0012,29,666,0.62,0,0,0,0,0,1.87,8,22,1.45
104年3月,一氧化碳,承德站,2534316T0025,31,705,1.24,0,0,0,0,0,4.51,2,22,3.47
104年3月,一氧化碳,中北站,2533916T0022,31,706,1.58,0,0,0,0,0,4.75,26,22,3.09
104年4月,一氧化碳,中正站,2533616A0015,30,680,0.92,0,0,0,0,0,2.35,17,23,2.06
104年4月,一氧化碳,大直站,2533916A0007,29,675,0.58,0,0,0,0,0,1.59,16,22,1.13
104年4月,一氧化碳,信義站,2534516A0004,30,679,0.54,0,0,0,0,0,1.51,20,8,1.08
104年4月,一氧化碳,南港站,2534116A0005,30,679,0.58,0,0,0,0,0,1.93,12,4,1.12
104年4月,一氧化碳,內湖站,2534216A0011,29,675,0.73,0,0,0,0,0,1.71,19,22,1.34
104年4月,一氧化碳,木柵站,2534016A0012,29,656,0.52,0,0,0,0,0,1.02,1,12,0.91
104年4月,一氧化碳,承德站,2534316T0025,30,665,1.13,0,0,0,0,0,3.28,19,23,2.59
104年4月,一氧化碳,中北站,2533916T0022,30,685,1.53,0,0,0,0,0,4.5,17,8,2.81
104年5月,一氧化碳,中正站,2533616A0015,29,690,0.91,0,0,0,0,0,3.57,11,19,2.23
104年5月,一氧化碳,大直站,2533916A0007,31,702,0.66,0,0,0,0,0,1.93,7,4,1.63
104年5月,一氧化碳,信義站,2534516A0004,29,673,0.52,0,0,0,0,0,1.89,6,19,1.55
104年5月,一氧化碳,南港站,2534116A0005,29,667,0.5,0,0,0,0,0,2.32,6,19,1.41
104年5月,一氧化碳,內湖站,2534216A0011,31,735,0.81,0,0,0,0,0,2.47,27,22,1.78
104年5月,一氧化碳,木柵站,2534016A0012,28,659,0.49,0,0,0,0,0,1.48,6,22,1.12
104年5月,一氧化碳,承德站,2534316T0025,30,717,1.46,0,0,0,0,0,4.7,22,7,4.7
104年5月,一氧化碳,中北站,2533916T0022,31,710,1.77,0,0,0,0,0,4.84,27,8,3.86
104年6月,一氧化碳,中正站,2533616A0015,30,689,0.83,0,0,0,0,0,3.08,29,20,1.49
104年6月,一氧化碳,大直站,2533916A0007,27,616,0.63,0,0,0,0,0,1.36,24,20,1.05
104年6月,一氧化碳,信義站,2534516A0004,26,597,0.44,0,0,0,0,0,1.02,14,21,0.84
104年6月,一氧化碳,南港站,2534116A0005,27,652,0.59,0,0,0,0,0,1.34,18,20,0.99
104年6月,一氧化碳,內湖站,2534216A0011,30,686,0.82,0,0,0,0,0,1.53,14,23,1.32
104年6月,一氧化碳,木柵站,2534016A0012,30,666,0.64,0,0,0,0,0,1.11,14,12,1.06
104年6月,一氧化碳,承德站,2534316T0025,30,702,1.2,0,0,0,0,0,3.91,2,18,2.31
104年6月,一氧化碳,中北站,2533916T0022,30,690,1.65,0,0,0,0,0,5.02,24,19,3.93
104年7月,一氧化碳,中正站,2533616A0015,31,709,0.84,0,0,0,0,0,2.42,11,19,1.67
104年7月,一氧化碳,大直站,2533916A0007,31,692,0.57,0,0,0,0,0,1.47,28,18,1.1
104年7月,一氧化碳,信義站,2534516A0004,31,700,0.49,0,0,0,0,0,1.2,24,19,0.95
104年7月,一氧化碳,南港站,2534116A0005,28,658,0.4,0,0,0,0,0,1.12,3,23,1.08
104年7月,一氧化碳,內湖站,2534216A0011,30,699,0.76,0,0,0,0,0,1.51,24,20,1.36
104年7月,一氧化碳,木柵站,2534016A0012,30,693,0.58,0,0,0,0,0,1.17,23,10,0.92
104年7月,一氧化碳,承德站,2534316T0025,29,688,1.03,0,0,0,0,0,3.51,28,18,2.51
104年7月,一氧化碳,中北站,2533916T0022,31,706,1.74,0,0,0,0,0,5.03,28,18,3.7
104年8月,一氧化碳,中正站,2533616A0015,30,694,0.94,0,0,0,0,0,1.91,11,19,1.6
104年8月,一氧化碳,大直站,2533916A0007,26,636,0.51,0,0,0,0,0,1.23,11,22,1.07
104年8月,一氧化碳,信義站,2534516A0004,27,597,0.55,0,0,0,0,0,1.29,10,0,1.29
104年8月,一氧化碳,南港站,2534116A0005,27,650,0.61,0,0,0,0,0,1.81,1,23,1.58
104年8月,一氧化碳,內湖站,2534216A0011,29,675,0.75,0,0,0,0,0,1.55,28,8,1.23
104年8月,一氧化碳,木柵站,2534016A0012,30,685,0.3,0,0,0,0,0,1.09,28,11,0.67
104年8月,一氧化碳,承德站,2534316T0025,29,685,1.06,0,0,0,0,0,3.67,18,8,2.25
104年8月,一氧化碳,中北站,2533916T0022,29,681,1.65,0,0,0,0,0,5.47,26,8,3.22
104年9月,一氧化碳,中正站,2533616A0015,27,643,0.93,0,0,0,0,0,2.9,4,18,1.63
104年9月,一氧化碳,大直站,2533916A0007,29,660,0.49,0,0,0,0,0,1.41,1,8,1.03
104年9月,一氧化碳,信義站,2534516A0004,27,617,0.5,0,0,0,0,0,1.02,4,9,0.83
104年9月,一氧化碳,南港站,2534116A0005,20,505,0.54,0,0,0,0,0,1.57,2,8,1.12
104年9月,一氧化碳,內湖站,2534216A0011,26,630,0.77,0,0,0,0,0,1.64,2,20,1.29
104年9月,一氧化碳,木柵站,2534016A0012,28,666,0.34,0,0,0,0,0,1.4,22,12,1.14
104年9月,一氧化碳,承德站,2534316T0025,28,649,1.52,0,0,0,0,0,5.84,30,7,3.18
104年9月,一氧化碳,中北站,2533916T0022,30,677,1.68,0,0,0,0,0,5.27,21,8,3.51
104年10月,一氧化碳,中正站,2533616A0015,31,703,0.89,0,0,0,0,0,2.19,27,8,1.6
104年10月,一氧化碳,大直站,2533916A0007,28,661,0.53,0,0,0,0,0,1.35,29,21,1.15
104年10月,一氧化碳,信義站,2534516A0004,28,637,0.62,0,0,0,0,0,8,7,12,1.78
104年10月,一氧化碳,南港站,2534116A0005,30,693,0.46,0,0,0,0,0,1.55,29,8,1.06
104年10月,一氧化碳,內湖站,2534216A0011,30,711,0.69,0,0,0,0,0,1.53,27,0,1.28
104年10月,一氧化碳,木柵站,2534016A0012,30,689,0.39,0,0,0,0,0,1.18,29,14,0.89
104年10月,一氧化碳,承德站,2534316T0025,28,671,1.35,0,0,0,0,0,5.07,23,8,2.87
104年10月,一氧化碳,中北站,2533916T0022,31,702,1.59,0,0,0,0,0,5.31,29,8,2.94
104年11月,一氧化碳,中正站,2533616A0015,30,665,0.97,0,0,0,0,0,2.1,7,22,1.8
104年11月,一氧化碳,大直站,2533916A0007,27,649,0.43,0,0,0,0,0,1.2,13,8,1.17
104年11月,一氧化碳,信義站,2534516A0004,30,661,0.74,0,0,0,0,0,1.57,13,9,1.38
104年11月,一氧化碳,南港站,2534116A0005,26,627,0.56,0,0,0,0,0,8.59,10,13,1.59
104年11月,一氧化碳,內湖站,2534216A0011,27,676,0.75,0,0,0,0,0,2.1,17,19,1.77
104年11月,一氧化碳,木柵站,2534016A0012,29,667,0.5,0,0,0,0,0,1.41,13,10,0.98
104年11月,一氧化碳,承德站,2534316T0025,26,637,1.35,0,0,0,0,0,3.68,13,8,2.23
104年11月,一氧化碳,中北站,2533916T0022,30,678,1.72,0,0,0,0,0,5.47,5,8,2.99
104年12月,一氧化碳,中正站,2533616A0015,30,664,0.99,0,0,0,0,0,2.73,24,8,1.81
104年12月,一氧化碳,大直站,2533916A0007,31,702,0.43,0,0,0,0,0,1.73,24,10,0.95
104年12月,一氧化碳,信義站,2534516A0004,31,689,0.5,0,0,0,0,0,1.41,10,22,1.16
104年12月,一氧化碳,南港站,2534116A0005,25,615,0.54,0,0,0,0,0,1.66,22,8,1.15
104年12月,一氧化碳,內湖站,2534216A0011,30,719,0.7,0,0,0,0,0,1.8,20,23,1.5
104年12月,一氧化碳,木柵站,2534016A0012,31,706,0.58,0,0,0,0,0,1.29,2,10,1.07
104年12月,一氧化碳,承德站,2534316T0025,29,679,1.21,0,0,0,0,0,3.75,21,18,2.35
104年12月,一氧化碳,中北站,2533916T0022,31,718,1.72,0,0,0,0,0,5.43,22,8,2.91
105年1月,一氧化碳,中正站,2533616A0015,31,653,1.11,0,0,0,0,0,4.12,28,12,2.82
105年1月,一氧化碳,大直站,2533916A0007,30,642,0.58,0,0,0,0,0,2.96,28,11,1.99
105年1月,一氧化碳,信義站,2534516A0004,31,660,0.62,0,0,0,0,0,2.27,28,13,1.65
105年1月,一氧化碳,南港站,2534116A0005,28,623,0.6,0,0,0,0,0,1.78,27,23,1.47
105年1月,一氧化碳,內湖站,2534216A0011,31,696,0.69,0,0,0,0,0,2.82,28,11,2.32
105年1月,一氧化碳,木柵站,2534016A0012,31,663,0.65,0,0,0,0,0,2.35,28,13,1.33
105年1月,一氧化碳,承德站,2534316T0025,30,650,1.4,0,0,0,0,0,4.21,28,8,3.04
105年1月,一氧化碳,中北站,2533916T0022,31,662,1.8,0,0,0,0,0,5.74,28,8,4.17
105年2月,一氧化碳,中正站,2533616A0015,29,656,0.91,0,0,0,0,0,2.5,4,20,1.79
105年2月,一氧化碳,大直站,2533916A0007,29,667,0.55,0,0,0,0,0,2.3,4,20,1.37
105年2月,一氧化碳,信義站,2534516A0004,29,659,0.66,0,0,0,0,0,1.3,14,10,1.03
105年2月,一氧化碳,南港站,2534116A0005,27,633,0.47,0,0,0,0,0,1.84,22,7,0.99
105年2月,一氧化碳,內湖站,2534216A0011,28,675,0.59,0,0,0,0,0,1.69,22,7,1.31
105年2月,一氧化碳,木柵站,2534016A0012,24,566,0.67,0,0,0,0,0,1.44,22,1,0.99
105年2月,一氧化碳,承德站,2534316T0025,29,668,1.18,0,0,0,0,0,4.02,22,7,2.8
105年2月,一氧化碳,中北站,2533916T0022,29,668,1.42,0,0,0,0,0,4.5,22,8,2.94
105年3月,一氧化碳,中正站,2533616A0015,30,680,1.12,0,0,0,0,0,5.13,18,21,4.39
105年3月,一氧化碳,大直站,2533916A0007,28,670,0.68,0,0,0,0,0,3.46,19,2,2.54
105年3月,一氧化碳,信義站,2534516A0004,31,708,0.83,0,0,0,0,0,2.9,18,19,2.63
105年3月,一氧化碳,南港站,2534116A0005,30,679,0.59,0,0,0,0,0,3.49,18,17,2.6
105年3月,一氧化碳,內湖站,2534216A0011,29,707,0.78,0,0,0,0,0,4.64,18,23,4.03
105年3月,一氧化碳,木柵站,2534016A0012,29,673,0.67,0,0,0,0,0,2.12,17,18,1.53
105年3月,一氧化碳,承德站,2534316T0025,27,660,1.38,0,0,0,0,0,6.44,18,22,5.13
105年3月,一氧化碳,中北站,2533916T0022,31,715,1.78,0,0,0,0,0,6.08,18,8,4.98
105年4月,一氧化碳,中正站,2533616A0015,30,652,1.19,0,0,0,0,0,3.37,17,0,2.66
105年4月,一氧化碳,大直站,2533916A0007,30,688,0.63,0,0,0,0,0,2.11,15,21,1.66
105年4月,一氧化碳,信義站,2534516A0004,28,487,0.68,0,0,0,0,0,1.76,14,14,1.33
105年4月,一氧化碳,南港站,2534116A0005,27,591,0.63,0,0,0,0,0,1.67,2,0,1.48
105年4月,一氧化碳,內湖站,2534216A0011,12,46,0.84,0,0,0,0,0,1.43,2,3,1.07
105年4月,一氧化碳,木柵站,2534016A0012,30,686,0.7,0,0,0,0,0,1.3,9,23,1.16
105年4月,一氧化碳,承德站,2534316T0025,22,328,1.32,0,0,0,0,0,5.85,30,22,4.94
105年4月,一氧化碳,中北站,2533916T0022,30,602,1.83,0,0,0,0,0,4.87,15,19,3.64
105年5月,一氧化碳,中正站,2533616A0015,30,702,1.02,0,0,0,0,0,2,3,8,1.7
105年5月,一氧化碳,大直站,2533916A0007,28,670,0.58,0,0,0,0,0,1.42,12,22,1.09
105年5月,一氧化碳,信義站,2534516A0004,30,644,0.49,0,0,0,0,0,1.19,9,19,1.03
105年5月,一氧化碳,南港站,2534116A0005,21,578,0.51,0,0,0,0,0,1.43,9,19,1
105年5月,一氧化碳,內湖站,2534216A0011,31,725,0.75,0,0,0,0,0,1.68,9,19,1.43
105年5月,一氧化碳,木柵站,2534016A0012,31,708,0.66,0,0,0,0,0,1.25,5,12,1.09
105年5月,一氧化碳,承德站,2534316T0025,22,541,0.96,0,0,0,0,0,4.27,3,11,2.45
105年5月,一氧化碳,中北站,2533916T0022,30,681,1.45,0,0,0,0,0,4.54,9,8,2.81
105年6月,一氧化碳,中正站,2533616A0015,30,663,0.9,0,0,0,0,0,2.94,6,21,1.85
105年6月,一氧化碳,大直站,2533916A0007,30,688,0.57,0,0,0,0,0,1.77,14,20,1.49
105年6月,一氧化碳,信義站,2534516A0004,30,668,0.27,0,0,0,0,0,1.23,14,10,0.88
105年6月,一氧化碳,南港站,2534116A0005,30,646,0.48,0,0,0,0,0,1.26,26,7,0.98
105年6月,一氧化碳,內湖站,2534216A0011,30,687,0.79,0,0,0,0,0,2.07,14,20,1.54
105年6月,一氧化碳,木柵站,2534016A0012,30,687,0.57,0,0,0,0,0,1.05,6,20,0.92
105年6月,一氧化碳,承德站,2534316T0025,30,687,1.09,0,0,0,0,0,4.27,14,19,3.04
105年6月,一氧化碳,中北站,2533916T0022,29,631,1.3,0,0,0,0,0,4.8,14,9,2.87
105年7月,一氧化碳,中正站,2533616A0015,31,662,0.85,0,0,0,0,0,2,19,21,1.47
105年7月,一氧化碳,大直站,2533916A0007,31,710,0.51,0,0,0,0,0,1.21,20,23,0.84
105年7月,一氧化碳,信義站,2534516A0004,29,597,0.27,0,0,0,0,0,1.07,19,20,0.95
105年7月,一氧化碳,南港站,2534116A0005,31,699,0.4,0,0,0,0,0,1.03,18,9,0.82
105年7月,一氧化碳,內湖站,2534216A0011,31,708,0.74,0,0,0,0,0,1.51,17,22,1.3
105年7月,一氧化碳,木柵站,2534016A0012,31,708,0.56,0,0,0,0,0,0.91,3,21,0.78
105年7月,一氧化碳,承德站,2534316T0025,31,707,0.93,0,0,0,0,0,3.01,18,19,2.17
105年7月,一氧化碳,中北站,2533916T0022,31,653,1.24,0,0,0,0,0,4.42,11,9,2.6
105年8月,一氧化碳,中正站,2533616A0015,31,703,0.93,0,0,0,0,0,1.88,24,9,1.5
105年8月,一氧化碳,大直站,2533916A0007,31,709,0.52,0,0,0,0,0,1.2,12,0,0.87
105年8月,一氧化碳,信義站,2534516A0004,31,649,0.47,0,0,0,0,0,1.22,12,0,1.12
105年8月,一氧化碳,南港站,2534116A0005,31,680,0.38,0,0,0,0,0,1.06,30,23,0.84
105年8月,一氧化碳,內湖站,2534216A0011,31,657,0.68,0,0,0,0,0,1.27,2,21,1.05
105年8月,一氧化碳,木柵站,2534016A0012,31,691,0.58,0,0,0,0,0,1.1,6,0,1.01
105年8月,一氧化碳,承德站,2534316T0025,31,701,0.96,0,0,0,0,0,2.9,24,9,2.02
105年8月,一氧化碳,中北站,2533916T0022,31,667,1.28,0,0,0,0,0,4.13,24,9,2.66
105年9月,一氧化碳,中正站,2533616A0015,30,654,0.93,0,0,0,0,0,1.94,2,23,1.65
105年9月,一氧化碳,大直站,2533916A0007,30,685,0.52,0,0,0,0,0,1.46,30,20,1.06
105年9月,一氧化碳,信義站,2534516A0004,30,667,0.49,0,0,0,0,0,1.21,10,12,1.05
105年9月,一氧化碳,南港站,2534116A0005,30,661,0.48,0,0,0,0,0,1.45,29,22,1.14
105年9月,一氧化碳,內湖站,2534216A0011,30,658,0.67,0,0,0,0,0,1.67,19,9,1.32
105年9月,一氧化碳,木柵站,2534016A0012,27,577,0.49,0,0,0,0,0,1.03,5,19,0.84
105年9月,一氧化碳,承德站,2534316T0025,30,670,1.1,0,0,0,0,0,3.89,29,19,2.6
105年9月,一氧化碳,中北站,2533916T0022,30,674,1.29,0,0,0,0,0,4.54,29,9,2.4
105年10月,一氧化碳,中正站,2533616A0015,31,699,0.84,0,0,0,0,0,2.02,11,9,1.51
105年10月,一氧化碳,大直站,2533916A0007,31,706,0.43,0,0,0,0,0,1.24,27,10,1.03
105年10月,一氧化碳,信義站,2534516A0004,31,687,0.6,0,0,0,0,0,1.64,25,13,1.54
105年10月,一氧化碳,南港站,2534116A0005,31,655,0.51,0,0,0,0,0,1.38,26,23,1.02
105年10月,一氧化碳,內湖站,2534216A0011,30,637,0.61,0,0,0,0,0,1.22,23,2,1.11
105年10月,一氧化碳,木柵站,2534016A0012,30,676,0.36,0,0,0,0,0,0.94,26,22,0.83
105年10月,一氧化碳,承德站,2534316T0025,31,708,0.99,0,0,0,0,0,3.49,12,9,2.38
105年10月,一氧化碳,中北站,2533916T0022,31,699,1.1,0,0,0,0,0,5.16,11,9,2.36
104年1月,二氧化硫,中正站,2533616A0015,31,710,2.56,0,0,0,0,9.3,1,1,4.46,1
104年1月,二氧化硫,大直站,2533916A0007,29,692,3.76,0,0,0,0,11.2,17,8,6.32,22
104年1月,二氧化硫,信義站,2534516A0004,31,705,2.88,0,0,0,0,14.8,26,10,4.69,1
104年1月,二氧化硫,南港站,2534116A0005,31,707,3.28,0,0,0,0,15.75,4,16,5.68,26
104年1月,二氧化硫,內湖站,2534216A0011,30,691,4.25,0,0,0,0,14.56,4,17,7.28,4
104年1月,二氧化硫,木柵站,2534016A0012,26,664,2.36,0,0,0,0,11.88,26,16,4.91,1
104年1月,二氧化硫,承德站,2534316T0025,29,688,3.56,0,0,0,0,9.5,1,0,5.24,22
104年1月,二氧化硫,中北站,2533916T0022,31,697,2.5,0,0,0,0,7.9,6,13,4.94,6
104年2月,二氧化硫,中正站,2533616A0015,28,636,2.47,0,0,0,0,13.6,16,17,4.85,12
104年2月,二氧化硫,大直站,2533916A0007,27,617,2.46,0,0,0,0,20.26,24,19,5.26,18
104年2月,二氧化硫,信義站,2534516A0004,28,637,3.02,0,0,0,0,13.9,22,14,5.36,12
104年2月,二氧化硫,南港站,2534116A0005,28,633,3.46,0,0,0,0,21.96,16,16,6.18,15
104年2月,二氧化硫,內湖站,2534216A0011,28,634,3.86,0,0,0,0,11.83,24,19,5.57,16
104年2月,二氧化硫,木柵站,2534016A0012,27,628,2.03,0,0,0,0,10.49,15,21,3.47,8
104年2月,二氧化硫,承德站,2534316T0025,28,639,4.21,0,0,0,0,17.27,6,17,8.33,6
104年2月,二氧化硫,中北站,2533916T0022,28,639,2.47,0,0,0,0,10.3,17,15,4.3,12
104年3月,二氧化硫,中正站,2533616A0015,31,706,2.84,0,0,0,0,17.8,16,21,6.36,16
104年3月,二氧化硫,大直站,2533916A0007,27,662,2.24,0,0,0,0,17.83,19,17,4.81,16
104年3月,二氧化硫,信義站,2534516A0004,31,694,2.81,0,0,0,0,22.7,16,19,5.72,14
104年3月,二氧化硫,南港站,2534116A0005,31,702,4.43,0,0,0,0,36.96,14,17,8.82,14
104年3月,二氧化硫,內湖站,2534216A0011,31,693,4.15,0,0,0,0,36.77,19,18,10.46,19
104年3月,二氧化硫,木柵站,2534016A0012,31,691,2.17,0,0,0,0,23.64,14,17,6.27,16
104年3月,二氧化硫,承德站,2534316T0025,30,683,3.97,0,0,0,0,23.12,12,23,7.8,28
104年3月,二氧化硫,中北站,2533916T0022,31,706,2.69,0,0,0,0,16.4,16,21,6.3,16
104年4月,二氧化硫,中正站,2533616A0015,29,670,2.87,0,0,0,0,20.3,16,18,6.59,30
104年4月,二氧化硫,大直站,2533916A0007,28,667,2.65,0,0,0,0,28.46,30,17,6.94,25
104年4月,二氧化硫,信義站,2534516A0004,30,679,2.99,0,0,0,0,20.2,5,17,5.43,3
104年4月,二氧化硫,南港站,2534116A0005,30,676,4.97,0,0,0,0,51.14,16,17,9.55,16
104年4月,二氧化硫,內湖站,2534216A0011,29,659,3.76,0,0,0,0,23.8,1,15,7.65,19
104年4月,二氧化硫,木柵站,2534016A0012,29,653,2.18,0,0,0,0,19.15,2,15,4.95,3
104年4月,二氧化硫,承德站,2534316T0025,30,669,3.94,0,0,0,0,25.29,6,12,7.51,30
104年4月,二氧化硫,中北站,2533916T0022,30,685,2.87,0,0,0,0,23.1,30,15,8.17,30
104年5月,二氧化硫,中正站,2533616A0015,29,689,3.01,0,0,0,0,26,26,10,5.46,26
104年5月,二氧化硫,大直站,2533916A0007,31,701,2.84,0,0,0,0,30.7,10,2,6.17,26
104年5月,二氧化硫,信義站,2534516A0004,29,673,3.01,0,0,0,0,25.7,15,14,7.1,15
104年5月,二氧化硫,南港站,2534116A0005,29,663,3.79,0,0,0,0,42.3,15,14,11.13,15
104年5月,二氧化硫,內湖站,2534216A0011,29,651,4.59,0,0,0,0,37.9,14,15,8.83,27
104年5月,二氧化硫,木柵站,2534016A0012,29,672,1.79,0,0,0,0,21.09,7,16,5.17,15
104年5月,二氧化硫,承德站,2534316T0025,30,680,3.68,0,0,0,0,26.3,7,21,7,7
104年5月,二氧化硫,中北站,2533916T0022,31,704,2.92,0,0,0,0,16,14,16,4.7,14
104年6月,二氧化硫,中正站,2533616A0015,30,673,2.9,0,0,0,0,31.1,15,17,4.89,15
104年6月,二氧化硫,大直站,2533916A0007,27,614,2.25,0,0,0,0,14.19,10,9,4.03,10
104年6月,二氧化硫,信義站,2534516A0004,26,592,2.97,0,0,0,0,23.4,2,19,4.98,10
104年6月,二氧化硫,南港站,2534116A0005,27,651,3.93,0,0,0,0,50.29,16,15,8.11,16
104年6月,二氧化硫,內湖站,2534216A0011,29,673,6.12,0,0,0,0,44.41,16,16,11.23,16
104年6月,二氧化硫,木柵站,2534016A0012,27,624,2.44,0,0,0,0,17.8,14,13,6.44,15
104年6月,二氧化硫,承德站,2534316T0025,30,683,2.46,0,0,0,0,16.3,22,17,3.71,16
104年6月,二氧化硫,中北站,2533916T0022,30,682,2.9,0,0,0,0,21.4,22,17,4.82,22
104年7月,二氧化硫,中正站,2533616A0015,30,659,3.07,0,0,0,0,26.5,14,17,9.76,21
104年7月,二氧化硫,大直站,2533916A0007,31,688,2.16,0,0,0,0,32.44,20,17,6.35,20
104年7月,二氧化硫,信義站,2534516A0004,29,654,2.98,0,0,0,0,27.3,21,15,6.83,21
104年7月,二氧化硫,南港站,2534116A0005,29,678,3.84,0,0,0,0,48.12,21,15,8.69,25
104年7月,二氧化硫,內湖站,2534216A0011,29,679,4.89,0,0,0,0,44.7,21,10,10.61,21
104年7月,二氧化硫,木柵站,2534016A0012,29,654,2.58,0,0,0,0,36,22,15,7.74,31
104年7月,二氧化硫,承德站,2534316T0025,30,695,2.93,0,0,0,0,37.7,20,17,6.68,20
104年7月,二氧化硫,中北站,2533916T0022,30,695,3.11,0,0,0,0,25.9,21,10,6.33,20
104年8月,二氧化硫,中正站,2533616A0015,28,627,3.16,0,0,0,0,24.4,1,16,5.64,4
104年8月,二氧化硫,大直站,2533916A0007,25,616,2.08,0,0,0,0,23,10,20,5.49,4
104年8月,二氧化硫,信義站,2534516A0004,22,550,3.25,0,0,0,0,29.3,1,15,7.6,1
104年8月,二氧化硫,南港站,2534116A0005,26,634,3.33,0,0,0,0,49.5,1,16,8.89,6
104年8月,二氧化硫,內湖站,2534216A0011,26,608,2.57,0,0,0,0,21.8,5,17,6.7,4
104年8月,二氧化硫,木柵站,2534016A0012,27,614,3.53,0,0,0,0,22.1,1,14,6.77,12
104年8月,二氧化硫,承德站,2534316T0025,29,686,2.56,0,0,0,0,29.5,10,20,5.04,10
104年8月,二氧化硫,中北站,2533916T0022,28,663,2.76,0,0,0,0,22.7,25,17,6.29,4
104年9月,二氧化硫,中正站,2533616A0015,27,631,3.05,0,0,0,0,46.6,25,15,9.13,25
104年9月,二氧化硫,大直站,2533916A0007,26,617,1.96,0,0,0,0,29.9,22,18,7.74,22
