月份,監測項目,監測站,測站編號,有效測定日數(日),測定時數(時),月平均值(ppm),一小時值超過35ppm之時數(時),一小時值超過35ppm之時數(%),連續8小時之平均值超過9ppm次數(次),日平均值超過10ppm日數(日),日平均值超過10ppm日數(%),一小時值之最高值(ppm),一小時值之最高值(發生日),一小時值之最高值(發生時),連續8小時平均值之最高值(ppm),連續8小時平均值之最高值(發生日),連續8小時平均值之最高值(發生時),日平均值之最高值(ppm),日平均值之最高值(發生日期)
104年1月,一氧化碳,中正站,2533616A0015,31,708,0.99,0,0,0,0,0,5.32,5,19,2.91,5,23,2.14,5
104年1月,一氧化碳,大直站,2533916A0007,30,699,0.77,0,0,0,0,0,3.02,5,9,1.87,5,22,1.55,5
104年1月,一氧化碳,信義站,2534516A0004,31,706,0.81,0,0,0,0,0,2.74,5,20,2.57,6,1,1.7,5
104年1月,一氧化碳,南港站,2534116A0005,26,651,0.59,0,0,0,0,0,2.25,5,21,1.77,6,0,1.28,5
104年1月,一氧化碳,內湖站,2534216A0011,31,703,0.79,0,0,0,0,0,2.93,16,10,2.31,6,3,1.62,5
104年1月,一氧化碳,木柵站,2534016A0012,26,653,0.53,0,0,0,0,0,1.99,5,18,1.54,5,22,0.88,29
104年1月,一氧化碳,承德站,2534316T0025,29,688,1.29,0,0,0,0,0,4.87,5,17,2.84,6,0,2.47,5
104年1月,一氧化碳,中北站,2533916T0022,31,708,1.57,0,0,0,0,0,6.81,5,20,4.58,5,22,3.48,5
104年2月,一氧化碳,中正站,2533616A0015,28,638,0.98,0,0,0,0,0,3.07,25,23,1.77,26,9,1.64,25
104年2月,一氧化碳,大直站,2533916A0007,28,618,0.59,0,0,0,0,0,2.34,16,9,1.27,26,1,0.89,7
104年2月,一氧化碳,信義站,2534516A0004,28,638,0.68,0,0,0,0,0,1.87,25,23,1.49,26,9,1.09,25
104年2月,一氧化碳,南港站,2534116A0005,28,625,0.62,0,0,0,0,0,2.25,13,22,1.54,16,15,1.07,24
104年2月,一氧化碳,內湖站,2534216A0011,28,636,0.87,0,0,0,0,0,2.62,16,9,1.69,12,3,1.29,11
104年2月,一氧化碳,木柵站,2534016A0012,26,619,0.63,0,0,0,0,0,1.47,23,19,1.2,23,21,1.01,13
104年2月,一氧化碳,承德站,2534316T0025,28,639,1.2,0,0,0,0,0,4.31,26,7,2.56,26,8,1.81,6
104年2月,一氧化碳,中北站,2533916T0022,28,639,1.53,0,0,0,0,0,5.4,16,8,2.76,16,14,2.23,25
104年3月,一氧化碳,中正站,2533616A0015,31,704,0.96,0,0,0,0,0,3.26,26,22,2.66,27,3,1.41,17
104年3月,一氧化碳,大直站,2533916A0007,29,686,0.66,0,0,0,0,0,2.31,13,9,1.75,3,5,1.16,3
104年3月,一氧化碳,信義站,2534516A0004,31,697,0.69,0,0,0,0,0,1.73,30,9,1.39,9,1,0.92,20
104年3月,一氧化碳,南港站,2534116A0005,31,703,0.65,0,0,0,0,0,2.09,17,9,1.66,14,6,1.05,17
104年3月,一氧化碳,內湖站,2534216A0011,28,700,0.7,0,0,0,0,0,1.81,2,23,1.53,3,3,1.18,3
104年3月,一氧化碳,木柵站,2534016A0012,29,666,0.62,0,0,0,0,0,1.87,8,22,1.45,10,19,1.33,10
104年3月,一氧化碳,承德站,2534316T0025,31,705,1.24,0,0,0,0,0,4.51,2,22,3.47,3,1,1.98,3
104年3月,一氧化碳,中北站,2533916T0022,31,706,1.58,0,0,0,0,0,4.75,26,22,3.09,27,3,2.27,30
104年4月,一氧化碳,中正站,2533616A0015,30,680,0.92,0,0,0,0,0,2.35,17,23,2.06,18,1,1.33,17
104年4月,一氧化碳,大直站,2533916A0007,29,675,0.58,0,0,0,0,0,1.59,16,22,1.13,18,1,0.85,12
104年4月,一氧化碳,信義站,2534516A0004,30,679,0.54,0,0,0,0,0,1.51,20,8,1.08,18,9,0.8,18
104年4月,一氧化碳,南港站,2534116A0005,30,679,0.58,0,0,0,0,0,1.93,12,4,1.12,1,1,0.87,1
104年4月,一氧化碳,內湖站,2534216A0011,29,675,0.73,0,0,0,0,0,1.71,19,22,1.34,20,1,1.08,16
104年4月,一氧化碳,木柵站,2534016A0012,29,656,0.52,0,0,0,0,0,1.02,1,12,0.91,5,17,0.72,1
104年4月,一氧化碳,承德站,2534316T0025,30,665,1.13,0,0,0,0,0,3.28,19,23,2.59,20,0,1.85,19
104年4月,一氧化碳,中北站,2533916T0022,30,685,1.53,0,0,0,0,0,4.5,17,8,2.81,19,23,2,2
104年5月,一氧化碳,中正站,2533616A0015,29,690,0.91,0,0,0,0,0,3.57,11,19,2.23,11,23,1.45,6
104年5月,一氧化碳,大直站,2533916A0007,31,702,0.66,0,0,0,0,0,1.93,7,4,1.63,9,1,1.13,6
104年5月,一氧化碳,信義站,2534516A0004,29,673,0.52,0,0,0,0,0,1.89,6,19,1.55,7,2,0.99,6
104年5月,一氧化碳,南港站,2534116A0005,29,667,0.5,0,0,0,0,0,2.32,6,19,1.41,7,1,0.93,6
104年5月,一氧化碳,內湖站,2534216A0011,31,735,0.81,0,0,0,0,0,2.47,27,22,1.78,8,23,1.34,27
104年5月,一氧化碳,木柵站,2534016A0012,28,659,0.49,0,0,0,0,0,1.48,6,22,1.12,6,23,0.72,5
104年5月,一氧化碳,承德站,2534316T0025,30,717,1.46,0,0,0,0,0,4.7,22,7,4.7,22,7,2.18,27
104年5月,一氧化碳,中北站,2533916T0022,31,710,1.77,0,0,0,0,0,4.84,27,8,3.86,8,22,2.54,8
104年6月,一氧化碳,中正站,2533616A0015,30,689,0.83,0,0,0,0,0,3.08,29,20,1.49,24,22,1.07,24
104年6月,一氧化碳,大直站,2533916A0007,27,616,0.63,0,0,0,0,0,1.36,24,20,1.05,25,0,0.77,24
104年6月,一氧化碳,信義站,2534516A0004,26,597,0.44,0,0,0,0,0,1.02,14,21,0.84,15,1,0.71,14
104年6月,一氧化碳,南港站,2534116A0005,27,652,0.59,0,0,0,0,0,1.34,18,20,0.99,18,22,0.78,18
104年6月,一氧化碳,內湖站,2534216A0011,30,686,0.82,0,0,0,0,0,1.53,14,23,1.32,25,0,1.05,24
104年6月,一氧化碳,木柵站,2534016A0012,30,666,0.64,0,0,0,0,0,1.11,14,12,1.06,14,12,0.77,4
104年6月,一氧化碳,承德站,2534316T0025,30,702,1.2,0,0,0,0,0,3.91,2,18,2.31,24,22,1.66,24
104年6月,一氧化碳,中北站,2533916T0022,30,690,1.65,0,0,0,0,0,5.02,24,19,3.93,24,22,2.59,24
104年7月,一氧化碳,中正站,2533616A0015,31,709,0.84,0,0,0,0,0,2.42,11,19,1.67,28,23,1.11,28
104年7月,一氧化碳,大直站,2533916A0007,31,692,0.57,0,0,0,0,0,1.47,28,18,1.1,16,9,0.74,30
104年7月,一氧化碳,信義站,2534516A0004,31,700,0.49,0,0,0,0,0,1.2,24,19,0.95,25,1,0.69,30
104年7月,一氧化碳,南港站,2534116A0005,28,658,0.4,0,0,0,0,0,1.12,3,23,1.08,10,0,0.63,31
104年7月,一氧化碳,內湖站,2534216A0011,30,699,0.76,0,0,0,0,0,1.51,24,20,1.36,25,1,1.01,24
104年7月,一氧化碳,木柵站,2534016A0012,30,693,0.58,0,0,0,0,0,1.17,23,10,0.92,29,12,0.75,11
104年7月,一氧化碳,承德站,2534316T0025,29,688,1.03,0,0,0,0,0,3.51,28,18,2.51,27,23,1.49,28
104年7月,一氧化碳,中北站,2533916T0022,31,706,1.74,0,0,0,0,0,5.03,28,18,3.7,23,22,2.48,23
104年8月,一氧化碳,中正站,2533616A0015,30,694,0.94,0,0,0,0,0,1.91,11,19,1.6,28,0,1.28,28
104年8月,一氧化碳,大直站,2533916A0007,26,636,0.51,0,0,0,0,0,1.23,11,22,1.07,17,9,0.76,28
104年8月,一氧化碳,信義站,2534516A0004,27,597,0.55,0,0,0,0,0,1.29,10,0,1.29,10,0,0.84,10
104年8月,一氧化碳,南港站,2534116A0005,27,650,0.61,0,0,0,0,0,1.81,1,23,1.58,1,13,0.87,28
104年8月,一氧化碳,內湖站,2534216A0011,29,675,0.75,0,0,0,0,0,1.55,28,8,1.23,12,1,1.03,28
104年8月,一氧化碳,木柵站,2534016A0012,30,685,0.3,0,0,0,0,0,1.09,28,11,0.67,28,13,0.45,29
104年8月,一氧化碳,承德站,2534316T0025,29,685,1.06,0,0,0,0,0,3.67,18,8,2.25,11,23,1.52,28
104年8月,一氧化碳,中北站,2533916T0022,29,681,1.65,0,0,0,0,0,5.47,26,8,3.22,11,23,2.31,11
104年9月,一氧化碳,中正站,2533616A0015,27,643,0.93,0,0,0,0,0,2.9,4,18,1.63,30,23,1.35,30
104年9月,一氧化碳,大直站,2533916A0007,29,660,0.49,0,0,0,0,0,1.41,1,8,1.03,30,22,0.73,1
104年9月,一氧化碳,信義站,2534516A0004,27,617,0.5,0,0,0,0,0,1.02,4,9,0.83,24,1,0.68,4
104年9月,一氧化碳,南港站,2534116A0005,20,505,0.54,0,0,0,0,0,1.57,2,8,1.12,2,1,0.96,2
104年9月,一氧化碳,內湖站,2534216A0011,26,630,0.77,0,0,0,0,0,1.64,2,20,1.29,1,8,1.1,1
104年9月,一氧化碳,木柵站,2534016A0012,28,666,0.34,0,0,0,0,0,1.4,22,12,1.14,29,15,0.71,22
104年9月,一氧化碳,承德站,2534316T0025,28,649,1.52,0,0,0,0,0,5.84,30,7,3.18,20,11,2.63,19
104年9月,一氧化碳,中北站,2533916T0022,30,677,1.68,0,0,0,0,0,5.27,21,8,3.51,2,8,2.54,2
104年10月,一氧化碳,中正站,2533616A0015,31,703,0.89,0,0,0,0,0,2.19,27,8,1.6,1,0,1.36,29
104年10月,一氧化碳,大直站,2533916A0007,28,661,0.53,0,0,0,0,0,1.35,29,21,1.15,30,1,0.9,29
104年10月,一氧化碳,信義站,2534516A0004,28,637,0.62,0,0,0,0,0,8,7,12,1.78,7,16,1.17,28
104年10月,一氧化碳,南港站,2534116A0005,30,693,0.46,0,0,0,0,0,1.55,29,8,1.06,29,22,0.93,29
104年10月,一氧化碳,內湖站,2534216A0011,30,711,0.69,0,0,0,0,0,1.53,27,0,1.28,27,2,1.07,1
104年10月,一氧化碳,木柵站,2534016A0012,30,689,0.39,0,0,0,0,0,1.18,29,14,0.89,29,17,0.72,28
104年10月,一氧化碳,承德站,2534316T0025,28,671,1.35,0,0,0,0,0,5.07,23,8,2.87,13,23,2.13,23
104年10月,一氧化碳,中北站,2533916T0022,31,702,1.59,0,0,0,0,0,5.31,29,8,2.94,29,14,2.25,29
104年11月,一氧化碳,中正站,2533616A0015,30,665,0.97,0,0,0,0,0,2.1,7,22,1.8,17,0,1.48,7
104年11月,一氧化碳,大直站,2533916A0007,27,649,0.43,0,0,0,0,0,1.2,13,8,1.17,13,9,0.72,9
104年11月,一氧化碳,信義站,2534516A0004,30,661,0.74,0,0,0,0,0,1.57,13,9,1.38,17,22,1.14,9
104年11月,一氧化碳,南港站,2534116A0005,26,627,0.56,0,0,0,0,0,8.59,10,13,1.59,10,13,0.92,17
104年11月,一氧化碳,內湖站,2534216A0011,27,676,0.75,0,0,0,0,0,2.1,17,19,1.77,18,0,1.12,8
104年11月,一氧化碳,木柵站,2534016A0012,29,667,0.5,0,0,0,0,0,1.41,13,10,0.98,7,17,0.76,7
104年11月,一氧化碳,承德站,2534316T0025,26,637,1.35,0,0,0,0,0,3.68,13,8,2.23,9,21,1.85,13
104年11月,一氧化碳,中北站,2533916T0022,30,678,1.72,0,0,0,0,0,5.47,5,8,2.99,18,1,2.51,17
104年12月,一氧化碳,中正站,2533616A0015,30,664,0.99,0,0,0,0,0,2.73,24,8,1.81,24,13,1.43,24
104年12月,一氧化碳,大直站,2533916A0007,31,702,0.43,0,0,0,0,0,1.73,24,10,0.95,24,13,0.68,22
104年12月,一氧化碳,信義站,2534516A0004,31,689,0.5,0,0,0,0,0,1.41,10,22,1.16,15,22,1.05,15
104年12月,一氧化碳,南港站,2534116A0005,25,615,0.54,0,0,0,0,0,1.66,22,8,1.15,21,2,0.82,24
104年12月,一氧化碳,內湖站,2534216A0011,30,719,0.7,0,0,0,0,0,1.8,20,23,1.5,21,2,1,21
104年12月,一氧化碳,木柵站,2534016A0012,31,706,0.58,0,0,0,0,0,1.29,2,10,1.07,15,23,0.89,15
104年12月,一氧化碳,承德站,2534316T0025,29,679,1.21,0,0,0,0,0,3.75,21,18,2.35,23,22,1.78,21
104年12月,一氧化碳,中北站,2533916T0022,31,718,1.72,0,0,0,0,0,5.43,22,8,2.91,24,13,2.22,21
105年1月,一氧化碳,中正站,2533616A0015,31,653,1.11,0,0,0,0,0,4.12,28,12,2.82,28,13,1.87,4
105年1月,一氧化碳,大直站,2533916A0007,30,642,0.58,0,0,0,0,0,2.96,28,11,1.99,28,1,1.26,28
105年1月,一氧化碳,信義站,2534516A0004,31,660,0.62,0,0,0,0,0,2.27,28,13,1.65,28,13,1.11,28
105年1月,一氧化碳,南港站,2534116A0005,28,623,0.6,0,0,0,0,0,1.78,27,23,1.47,3,9,1.06,4
105年1月,一氧化碳,內湖站,2534216A0011,31,696,0.69,0,0,0,0,0,2.82,28,11,2.32,28,13,1.63,28
105年1月,一氧化碳,木柵站,2534016A0012,31,663,0.65,0,0,0,0,0,2.35,28,13,1.33,28,14,0.91,27
105年1月,一氧化碳,承德站,2534316T0025,30,650,1.4,0,0,0,0,0,4.21,28,8,3.04,28,1,2.22,28
105年1月,一氧化碳,中北站,2533916T0022,31,662,1.8,0,0,0,0,0,5.74,28,8,4.17,28,13,2.95,4
105年2月,一氧化碳,中正站,2533616A0015,29,656,0.91,0,0,0,0,0,2.5,4,20,1.79,4,21,1.33,12
105年2月,一氧化碳,大直站,2533916A0007,29,667,0.55,0,0,0,0,0,2.3,4,20,1.37,19,1,0.88,27
105年2月,一氧化碳,信義站,2534516A0004,29,659,0.66,0,0,0,0,0,1.3,14,10,1.03,14,3,0.92,22
105年2月,一氧化碳,南港站,2534116A0005,27,633,0.47,0,0,0,0,0,1.84,22,7,0.99,13,8,0.69,22
105年2月,一氧化碳,內湖站,2534216A0011,28,675,0.59,0,0,0,0,0,1.69,22,7,1.31,13,7,0.89,13
105年2月,一氧化碳,木柵站,2534016A0012,24,566,0.67,0,0,0,0,0,1.44,22,1,0.99,2,0,0.87,22
105年2月,一氧化碳,承德站,2534316T0025,29,668,1.18,0,0,0,0,0,4.02,22,7,2.8,19,0,1.77,18
105年2月,一氧化碳,中北站,2533916T0022,29,668,1.42,0,0,0,0,0,4.5,22,8,2.94,18,23,2.02,4
105年3月,一氧化碳,中正站,2533616A0015,30,680,1.12,0,0,0,0,0,5.13,18,21,4.39,18,23,3.29,18
105年3月,一氧化碳,大直站,2533916A0007,28,670,0.68,0,0,0,0,0,3.46,19,2,2.54,19,3,1.95,18
105年3月,一氧化碳,信義站,2534516A0004,31,708,0.83,0,0,0,0,0,2.9,18,19,2.63,18,23,2.16,18
105年3月,一氧化碳,南港站,2534116A0005,30,679,0.59,0,0,0,0,0,3.49,18,17,2.6,18,17,2.08,18
105年3月,一氧化碳,內湖站,2534216A0011,29,707,0.78,0,0,0,0,0,4.64,18,23,4.03,19,4,2.64,18
105年3月,一氧化碳,木柵站,2534016A0012,29,673,0.67,0,0,0,0,0,2.12,17,18,1.53,17,21,1.1,17
105年3月,一氧化碳,承德站,2534316T0025,27,660,1.38,0,0,0,0,0,6.44,18,22,5.13,19,3,3.66,18
105年3月,一氧化碳,中北站,2533916T0022,31,715,1.78,0,0,0,0,0,6.08,18,8,4.98,18,15,4.25,18
105年4月,一氧化碳,中正站,2533616A0015,30,652,1.19,0,0,0,0,0,3.37,17,0,2.66,16,0,1.91,16
105年4月,一氧化碳,大直站,2533916A0007,30,688,0.63,0,0,0,0,0,2.11,15,21,1.66,1,0,0.92,16
105年4月,一氧化碳,信義站,2534516A0004,28,487,0.68,0,0,0,0,0,1.76,14,14,1.33,21,2,0.76,3
105年4月,一氧化碳,南港站,2534116A0005,27,591,0.63,0,0,0,0,0,1.67,2,0,1.48,2,3,0.93,16
105年4月,一氧化碳,內湖站,2534216A0011,12,46,0.84,0,0,0,0,0,1.43,2,3,1.07,30,13,0.97,30
105年4月,一氧化碳,木柵站,2534016A0012,30,686,0.7,0,0,0,0,0,1.3,9,23,1.16,29,23,0.98,29
105年4月,一氧化碳,承德站,2534316T0025,22,328,1.32,0,0,0,0,0,5.85,30,22,4.94,30,23,1.62,2
105年4月,一氧化碳,中北站,2533916T0022,30,602,1.83,0,0,0,0,0,4.87,15,19,3.64,15,23,2.44,16
105年5月,一氧化碳,中正站,2533616A0015,30,702,1.02,0,0,0,0,0,2,3,8,1.7,22,0,1.31,1
105年5月,一氧化碳,大直站,2533916A0007,28,670,0.58,0,0,0,0,0,1.42,12,22,1.09,18,13,0.78,1
105年5月,一氧化碳,信義站,2534516A0004,30,644,0.49,0,0,0,0,0,1.19,9,19,1.03,10,1,0.77,9
105年5月,一氧化碳,南港站,2534116A0005,21,578,0.51,0,0,0,0,0,1.43,9,19,1,6,3,0.72,1
105年5月,一氧化碳,內湖站,2534216A0011,31,725,0.75,0,0,0,0,0,1.68,9,19,1.43,10,0,1.03,9
105年5月,一氧化碳,木柵站,2534016A0012,31,708,0.66,0,0,0,0,0,1.25,5,12,1.09,2,1,0.93,1
105年5月,一氧化碳,承德站,2534316T0025,22,541,0.96,0,0,0,0,0,4.27,3,11,2.45,3,13,1.52,27
105年5月,一氧化碳,中北站,2533916T0022,30,681,1.45,0,0,0,0,0,4.54,9,8,2.81,5,22,2.02,5
105年6月,一氧化碳,中正站,2533616A0015,30,663,0.9,0,0,0,0,0,2.94,6,21,1.85,7,1,1.19,6
105年6月,一氧化碳,大直站,2533916A0007,30,688,0.57,0,0,0,0,0,1.77,14,20,1.49,15,1,0.93,14
105年6月,一氧化碳,信義站,2534516A0004,30,668,0.27,0,0,0,0,0,1.23,14,10,0.88,14,14,0.64,14
105年6月,一氧化碳,南港站,2534116A0005,30,646,0.48,0,0,0,0,0,1.26,26,7,0.98,14,10,0.71,27
105年6月,一氧化碳,內湖站,2534216A0011,30,687,0.79,0,0,0,0,0,2.07,14,20,1.54,15,2,1.13,14
105年6月,一氧化碳,木柵站,2534016A0012,30,687,0.57,0,0,0,0,0,1.05,6,20,0.92,7,0,0.7,6
105年6月,一氧化碳,承德站,2534316T0025,30,687,1.09,0,0,0,0,0,4.27,14,19,3.04,15,1,1.77,14
105年6月,一氧化碳,中北站,2533916T0022,29,631,1.3,0,0,0,0,0,4.8,14,9,2.87,14,22,2.11,14
105年7月,一氧化碳,中正站,2533616A0015,31,662,0.85,0,0,0,0,0,2,19,21,1.47,4,3,1.18,19
105年7月,一氧化碳,大直站,2533916A0007,31,710,0.51,0,0,0,0,0,1.21,20,23,0.84,13,2,0.68,19
105年7月,一氧化碳,信義站,2534516A0004,29,597,0.27,0,0,0,0,0,1.07,19,20,0.95,26,16,0.85,19
105年7月,一氧化碳,南港站,2534116A0005,31,699,0.4,0,0,0,0,0,1.03,18,9,0.82,20,0,0.67,19
105年7月,一氧化碳,內湖站,2534216A0011,31,708,0.74,0,0,0,0,0,1.51,17,22,1.3,18,1,0.93,18
105年7月,一氧化碳,木柵站,2534016A0012,31,708,0.56,0,0,0,0,0,0.91,3,21,0.78,14,0,0.63,14
105年7月,一氧化碳,承德站,2534316T0025,31,707,0.93,0,0,0,0,0,3.01,18,19,2.17,19,0,1.42,18
105年7月,一氧化碳,中北站,2533916T0022,31,653,1.24,0,0,0,0,0,4.42,11,9,2.6,11,23,1.88,11
105年8月,一氧化碳,中正站,2533616A0015,31,703,0.93,0,0,0,0,0,1.88,24,9,1.5,11,10,1.09,11
105年8月,一氧化碳,大直站,2533916A0007,31,709,0.52,0,0,0,0,0,1.2,12,0,0.87,3,2,0.66,20
105年8月,一氧化碳,信義站,2534516A0004,31,649,0.47,0,0,0,0,0,1.22,12,0,1.12,12,6,0.87,12
105年8月,一氧化碳,南港站,2534116A0005,31,680,0.38,0,0,0,0,0,1.06,30,23,0.84,24,21,0.68,31
105年8月,一氧化碳,內湖站,2534216A0011,31,657,0.68,0,0,0,0,0,1.27,2,21,1.05,31,23,0.92,31
105年8月,一氧化碳,木柵站,2534016A0012,31,691,0.58,0,0,0,0,0,1.1,6,0,1.01,6,1,0.7,5
105年8月,一氧化碳,承德站,2534316T0025,31,701,0.96,0,0,0,0,0,2.9,24,9,2.02,3,0,1.32,24
105年8月,一氧化碳,中北站,2533916T0022,31,667,1.28,0,0,0,0,0,4.13,24,9,2.66,11,15,2.37,11
105年9月,一氧化碳,中正站,2533616A0015,30,654,0.93,0,0,0,0,0,1.94,2,23,1.65,11,1,1.32,10
105年9月,一氧化碳,大直站,2533916A0007,30,685,0.52,0,0,0,0,0,1.46,30,20,1.06,30,1,0.73,10
105年9月,一氧化碳,信義站,2534516A0004,30,667,0.49,0,0,0,0,0,1.21,10,12,1.05,12,12,0.97,12
105年9月,一氧化碳,南港站,2534116A0005,30,661,0.48,0,0,0,0,0,1.45,29,22,1.14,30,1,0.77,10
105年9月,一氧化碳,內湖站,2534216A0011,30,658,0.67,0,0,0,0,0,1.67,19,9,1.32,19,3,0.95,19
105年9月,一氧化碳,木柵站,2534016A0012,27,577,0.49,0,0,0,0,0,1.03,5,19,0.84,3,0,0.66,5
105年9月,一氧化碳,承德站,2534316T0025,30,670,1.1,0,0,0,0,0,3.89,29,19,2.6,1,9,1.59,30
105年9月,一氧化碳,中北站,2533916T0022,30,674,1.29,0,0,0,0,0,4.54,29,9,2.4,10,23,1.96,29
105年10月,一氧化碳,中正站,2533616A0015,31,699,0.84,0,0,0,0,0,2.02,11,9,1.51,23,3,1.26,26
105年10月,一氧化碳,大直站,2533916A0007,31,706,0.43,0,0,0,0,0,1.24,27,10,1.03,10,23,0.74,27
105年10月,一氧化碳,信義站,2534516A0004,31,687,0.6,0,0,0,0,0,1.64,25,13,1.54,25,20,1.42,25
105年10月,一氧化碳,南港站,2534116A0005,31,655,0.51,0,0,0,0,0,1.38,26,23,1.02,27,2,0.86,27
105年10月,一氧化碳,內湖站,2534216A0011,30,637,0.61,0,0,0,0,0,1.22,23,2,1.11,1,1,0.96,27
105年10月,一氧化碳,木柵站,2534016A0012,30,676,0.36,0,0,0,0,0,0.94,26,22,0.83,27,0,0.52,4
105年10月,一氧化碳,承德站,2534316T0025,31,708,0.99,0,0,0,0,0,3.49,12,9,2.38,12,22,1.78,12
105年10月,一氧化碳,中北站,2533916T0022,31,699,1.1,0,0,0,0,0,5.16,11,9,2.36,1,1,1.52,7
